link,song,group
https://www.lyrics.com/lyric/30762826/Alicia+Keys/If+I+Ain%27t+Got+You,If I Ain't Got You,Alicia Keys
https://www.lyrics.com/lyric/34194528/Alicia+Keys/Know+Who+You+Are,Know Who You Are,Alicia Keys
https://www.lyrics.com/lyric/30706705/Alicia+Keys/Who+You+Are,Who You Are,Alicia Keys
https://www.lyrics.com/lyric/31409415/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/30460184/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/30677553/Alicia+Keys/That%27s+How+Strong+My+Love+Is,That's How Strong My Love Is,Alicia Keys
https://www.lyrics.com/lyric/31132677/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/30695958/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/31258339/Alicia+Keys/Empire+State+Of+Mind+%28Pt.+2%29+Broken+Down,Empire State Of Mind (Pt. 2) Broken Down,Alicia Keys
https://www.lyrics.com/lyric/30797948/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2+%28Broken+Down%29,"Empire State of Mind, Pt. 2 (Broken Down)",Alicia Keys
https://www.lyrics.com/lyric/31091526/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+II+%28Broken+Down%29,"Empire State of Mind, Pt. II (Broken Down)",Alicia Keys
https://www.lyrics.com/lyric/31143937/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/31227866/Alicia+Keys/Warrior+Song,Warrior Song,Alicia Keys
https://www.lyrics.com/lyric/31086348/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/30740549/Alicia+Keys/Fallin%27+%5BUnplugged%5D,Fallin' [Unplugged],Alicia Keys
https://www.lyrics.com/lyric/31086320/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2,"Empire State of Mind, Pt. 2",Alicia Keys
https://www.lyrics.com/lyric/30740661/Alicia+Keys/New+Day,New Day,Alicia Keys
https://www.lyrics.com/lyric/30844720/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/30817966/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2%3A+Broken+Down,"Empire State of Mind, Pt. 2: Broken Down",Alicia Keys
https://www.lyrics.com/lyric/31162391/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/30802816/Alicia+Keys/It%27s+On+Again,It's On Again,Alicia Keys
https://www.lyrics.com/lyric/30785091/Alicia+Keys/It%27s+On+Again+%5B%2A%5D,It's On Again [*],Alicia Keys
https://www.lyrics.com/lyric/30785070/Alicia+Keys/It%27s+On+Again+%5B%2A%5D,It's On Again [*],Alicia Keys
https://www.lyrics.com/lyric/30722638/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/31555595/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/31086185/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/31042716/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/31555228/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/31664046/Alicia+Keys/New+Day,New Day,Alicia Keys
https://www.lyrics.com/lyric/28639400/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/28639389/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2,"Empire State of Mind, Pt. 2",Alicia Keys
https://www.lyrics.com/lyric/29968966/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/30091709/Alicia+Keys/Better+You%2C+Better+Me,"Better You, Better Me",Alicia Keys
https://www.lyrics.com/lyric/29571292/Alicia+Keys/Girl+On+Fire,Girl On Fire,Alicia Keys
https://www.lyrics.com/lyric/29564144/Alicia+Keys/Warrior+Song,Warrior Song,Alicia Keys
https://www.lyrics.com/lyric/29564174/Alicia+Keys/Warrior+Song,Warrior Song,Alicia Keys
https://www.lyrics.com/lyric/28963215/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/29400808/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/29562572/Alicia+Keys/New+Day,New Day,Alicia Keys
https://www.lyrics.com/lyric/29271292/Alicia+Keys/Girl+on+Fire+%5BMain+Version%5D+%5BVersion%5D,Girl on Fire [Main Version] [Version],Alicia Keys
