artist,songs
The Kooks,"I know I was a fool when I first met you, girl But once I was a danger to myself But one look at you and all that was changed, girl I knew in my heart that I'd been saved  Because I Iove to love you You got me tied down my, honey bee And yes, I love to love you the way that I do You were always on my mind So I say it one more time I love you I love you  Once I thought that life was just a wasteland Friends and power were all I craved One look at you and I was changed, girl I know in my heart I had been saved  Because I love to love you You got me tied down my, honey bee And yes, I love to love you the way I do You were always on my mind So I say it one more time I love you I love you"
The Kooks,"Initials  Initials for For  Gainsbourg  Initials for Gainsbourg Initials for Gainsbourg  Climbing up to your window The ladder of life, it moves slow Singing the melody that you taught me The apple you gave me rotten to the core And I don't want your love But I want your love And I don't want your love  We don't know where we're going But we know we got some money saved All our tear drops are stolen But we're riding a broken wave  Jane is waiting for Initials for Gainsbourg Bonnie's at the door And Clyde's in the back seat Gangsters hold up the store With a love song Now we're going home Initials for Gainsbourg Initials for Gainsbourg Initials for Gainsbourg  Did you see that shooting star? And it's still only daylight All our dreams in the back of the car We don't walk between raindrops But somehow we managed to stay alive We both know that the penny drops But we don't know if we will survive And I don't want your love But now I want your love And I don't want your love  We don't know where we're going But we know we got some money saved Yes, our hearts are exploding But we're riding a broken wave  Jane is waiting for Initials for Gainsbourg Bonnie's waiting at the door And Clyde's in the back seat Gangsters hold up the store With a love song Now we're going home Initials for Gainsbourg  (Now we're going home) Initials for Gainsbourg (Now we're going home) Initials for Gainsbourg No one knows where we go Initials for Gainsbourg No one knows where we go Initials for Gainsbourg No one knows Initials for Gainsbourg (Now we're going home) Initials for Gainsbourg (Initials for Gainsbourg) (Initials for Gainsbourg) (Initials for Gainsbourg)"
The Kooks,"Oh, Pamela, what did you do? You touched the ground, then I fell in love with you Oh, Pamela, what did they say? I reached for your hand but you turned and walked away  Tell me that you wished to read about my main, Pamela So annoyed but she loves her fella One wink and a drink in the other one At night she only wears Yves Saint Laurent Watches black and white movies to get through 'Cause her hair is just like Marilyn Oh, what an enigmatic woman My touch just some of this album  Oh, Pamela, what did you do? You touched the ground, then I fell in love with you Oh, Pamela, what did they say? I reached for your hand but you turned and walked away  Can you lend your ears for a man in trouble? She told me up til now I see double I asked her what her life was missing And if she'd like to go trout mouth kissing Said go get high with the other ones I looked around like so, phenomenal Oh, what an enigmatic woman My gosh, this is so much better  Oh, Pamela, what did you do? You touched the ground, then I fell in love with you Oh, Pamela, what did they say? I reached for your hand but you turned and walked away Oh, Pamela, what did you do? You touched the ground, then I fell in love with you Oh, Pamela, what did they say? I reached for your hand but you turned and walked away You walked away, you walked away  Na, na, na, na, na Na na, na, na, na, na, na Na, na, na, na, na Na na, na, na, na, na, na Take it away  Oh, glad you have lemons in the morning By noon her nurse comes calling Limousine with the structure in the back They strap her down, when she has a panic attack I followed her down to the hospital No visitors allowed on a bicycle So I threw up sat at her window I touched the glass so she could feel the wind blow  Oh, Pamela, what did you do? You touched the ground, then I fell in love with you Oh, Pamela, what did they say? I reached for your hand but you turned and walked away Oh, Pamela, what did you do? You touched the ground, then I fell in love with you Oh, Pamela, what did they say? I reached for your hand but you turned and walked away Walked away Hey, you walked away Oh, Pamela Pamela, don't walk away"
The Kooks,"I didn't notice anything strange But the picture in your picture frame It was drawn of a fountain in your body Bought for a fiver most probably Didn't mean a lot to me, a lot to me  You tell me that you'd never sell this That the artist himself was beneath this That life itself is within this And I looked at the sky to worship the ground  And you never asked for nothing at all But you asked me to close your door And you do your best to fold me and unfold me again  Time will make fools of us all It's time to find meaning or control Every time we go out now you pretend Pretend we're not lovers, just friends And it gets to me, gets to me  Tell me the meaning of life is To be happy and to give up loss But you've never lost something you loved But I turn around How could I be angry at you?  When you never asked for nothing at all Even afterwards cluttered your door And you do your best to fold me and unfold me again  And unfold me again  And it gets to me, gets to me Tell me the meaning of life is To be happy and to give up loss But you've never lost something you loved But I turn around How could I be angry at you?  When you never asked for nothing at all But you asked me to come in from the cold And you do your best as you fold me and unfold me again And your never asked for nothing at all"
The Kooks,"I've been lost, locked up and shot I'm never gonna let them win, never going down again My soul, colder than stone Underdog, chewing a bone  I, I've been waiting I, I've been waiting Swing low  And I'm down, tied to the sound Of the drum, pushing me up Come on and show me where to go Carry me home, swing low  I, I've been waiting I, I've been waiting Swing low  So let's go You mean, we've got to go I'll follow you wherever you go I'll follow you wherever you want to go Wherever you want to go  I've been lost, locked up and shot I'm never gonna let them win, never going down again Come on show me where to go Carry me home, swing low"
The Kooks,"Did you come to see me fall? Did I disappoint you when I arose? Guess I though that I could change you But I should never listen to my own advice  Give me a chance to reconcile with you I've changed my plans and my designs too The universe was so unkind to me Oh but I'd like to let go of the weight of the world  Under my radar Weight of the world Under my rader Weight of the world  Making plans without you Feels like I'm marching in the rain Every man got his weakness I wanna show you that I can change  Give me a chance to reconcile with you I've changed my plans and my designs too The universe was so unkind to me Oh but I'd like to let go of the weight of the world  Under my radar Weight of the world Under my rader Weight of the world  Under my radar Just tryin' to get to bed Under my radar Just talking to you You're under my radar (ha, aaaaah)  I still hear singing I still hear you sing  Weight of the world Under my radar Weight of the world Under my rader Weight of the world Under my radar Weight of the world Under my radar Weight of the world"
The Kooks,"Fell in love with the summer But I'm just blowing in the wind Fell in love with the darkness The truth is hanging in the night Hanging in the night, oh-oh  We're just having a good time, honey No need to apply No pressure We're just having a good time  Darling, you give me shelter From the noise that drowns out the love And I want to discover All the things that make you come alive All the things that make you come alive, oh-oh  We're just having a good time, honey No need to apply No pressure We're just having a good time, honey No need to apply No pressure We're just having a good time, oh-oh  The truth is hanging in the night, oh-oh  We're just having a good time, honey No need to apply no pressure We're just having a good time, honey No need to apply no pressure We're just having such a good time, oh-oh  We're just having a good time, honey No need to apply no pressure We're just having a good time, honey No need to apply no pressure We're just having such a good time, oh-oh  We're just having a good time, honey No need to apply no pressure We're just having a good time, honey No need to apply no pressure We're just having a good time, honey No need to apply no pressure We're just having such a good time"
The Kooks,"Ta, ta, ta, ta, ta da da da Ta, ta, ta da da da Ta, ta, ta, ta, ta da da da Ta, ta, ta da da da  You don't know who you are The road's gonna take you, make you walk too far You're a liar, you're a thief, you're a star But you don't know who you are  You are just a kid with a sentimental heart Afraid of what would happen before you ever start And you don't need the baggage and you don't need the stuff And you don't need nobody to fill your empty cup  Ta, ta, ta, ta, ta da da da Ta, ta, ta da da da (Be who you are) Ta, ta, ta, ta, ta da da da (Baby you're a star) Ta, ta, ta da da da  Never give up, Coltrane Never be a slave to your own name You're a poet, you're a fake, you're a star But you don't know who you are  We could shine a light here inside the dark And get a little closer, lonely spark When there's nothing left to win and you could only lose What's keeping you from doing what you always wanna do  Ta, ta, ta, ta, ta da da da (Be who you are) Ta, ta, ta da da da (Be who you are) Ta, ta, ta, ta, ta da da da (Baby you're a star) Ta, ta, ta da da da (Be who you are)  Lately I've been feeling Like the stars are rolling out for me Stars are rolling out Lately I've been feeling But the stars are rolling out for me Stars are rolling out But maybe they're misleading Is it just a light reflecting off the street?  And you are just a kid with a sentimental heart And do it for yourself and do it for the art You don't need the baggage, you don't need the stuff You don't need nobody to fill your empty cup  Ta, ta, ta, ta, ta da da da (Be who you are) Ta, ta, ta da da da (Be, be who you are) Ta, ta, ta, ta, ta da da da (Be who you are) Ta, ta, ta da da da (Baby you're a star) Ta, ta, ta, ta, ta da da da (Be who you are) Ta, ta, ta, ta, ta da da da (Be who you are) Ta, ta, ta, ta, ta da da da (Baby you're a star) Ta, ta, ta da da da"
The Kooks,I'm not saying it was your fault Although you could have done more  Oh you're so naive yet so  How could this be done Your such a smiling sweetheart Oh and your sweet and pretty face In such an ugly way Something so beautiful That everytime I look inside  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  I may say it was your fault 'Cause I know you could have done more  Oh you're so naive yet so  How could this be done By such a smiling sweetheart Oh and your sweet and pretty face In such an ugly way something so beautiful Every time I look inside  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  How could this be done By such a smiling sweetheart  Oh you're so naive yet so  Such an ugly thing Someone so beautiful And everytime you're on his side  I know she knows that I'm not fond of asking True or false it maybe be she's still out to get me  And I know she knows that I'm not fond of asking True or false it maybe be she's still out to get me  Just don't let me down Just don't let me down Hold on to your kite Just don't let me down Just don't let me down Hold on to your kite Just don't let me down Just don't let me down Hold on to this kite Just don't let me down
The Kooks,"Junk of the heart is junk of my mind So hard to leave you all alone We get so drunk that we can hardly see What used to that, but you aren't me baby See I notice nothing makes you shatter no no You're a lover of the wild and a joker of the heart But are you mine?  I wanna make you happy, I wanna make you feel alive Let me make you happy I wanna make you feel alive at night I wanna make you happy If you're a good girl tonight Yeah  A ship to be sunk, life is not a race When I'm not happy I'm in disgrace So I spend time with pissing on you oh You're a lover of the wild and a joker of the heart But are you mine?  I wanna make you happy I wanna make you feel alive Let me make you happy I wanna make you feel alive at night I wanna make you happy If you're a good girl tonight Yeah  Still I notice nothing makes you shatter no no You're a lover of the wild and a joker of the heart But are you mine?  I wanna make you happy, I wanna make you feel alive Let me make you happy, I wanna make you feel alive at night I wanna make you happy If you're a good girl tonight"
